sequence,source,destination,domain,length,info
94,82.67.190.151,66.92.187.66,rediff.com,989,93aff9428ba4f1f6c93f109c654a706667479fd12cf9ef3233ffec15a6ad3417
73,63.239.104.48,216.182.185.220,gov.uk,871,20c1f87827246c572563af1a7895d1eb9160a497c744e4143ff516f1abbd9fae
11,102.64.106.241,181.22.127.25,cocolog-nifty.com,951,bdb456589875518af34aed397b55ca41af067644a58fe9be54a201a17aa6d0d4
24,21.102.85.90,245.210.112.33,google.ca,376,54ed5b0e54a59ca464dd41558282cc0d6c45e68c613e95e8291c003c36c7f09a
31,193.0.226.192,141.226.239.250,de.vu,932,dcbadfe0c7a11649237b24ff19b3d2d4068a99f5497b3e4b876a2c5395a9b151
100,64.16.146.174,61.87.251.202,buzzfeed.com,1074,942b9cf13173166f8b193ffccf5d024fbbe4cdcbd789ec2b3cb227ed53be8195
98,128.255.5.81,130.183.206.67,prlog.org,423,310672b384f93c90c03bdc73240d63c36daeac06ede9c57fe889b82e1ecb20c4
17,184.169.241.217,189.81.105.126,sakura.ne.jp,844,60f3385b96e778bf16335ef730b63b032cf14bb641c91b363655be526b9997c8
74,46.96.29.124,113.219.146.208,amazon.de,1257,d8a899c98fa08cde1c74de4406db3027cca0ba82ddfe3e3857b3ff939c376e2e
36,134.177.112.119,168.119.12.223,statcounter.com,1076,d56dd2448f98460fa61da51c7042fb9698e2ab21f4b84e77440efcae833abd36
37,95.240.88.142,227.171.15.8,flavors.me,1477,945d010828458a5f7561fa187b1db1d35e7ea0c2e9a376d4b9fe85df392843a4
84,84.158.191.85,51.155.226.70,1und1.de,216,a91475df98473463c48f4103932ae69a201c0c5f6d898035c41877c927155323
4,39.43.51.110,12.147.51.81,xrea.com,1251,8eda4077a12ad87f0fdd8c511475fe4ee9b6388e6e9f2f0452dc2219d8ca6378
100,154.145.54.69,168.131.139.178,nsw.gov.au,321,1458391024c771d222efb9461e9f1ada02227899126f4ea07e915ad17f6e77c4
54,185.105.241.216,165.116.236.14,themeforest.net,1434,a7e66536b5dda727700f0afbe4b024c32093436dd1ad61596167211e86b75150
36,240.224.217.186,135.239.157.113,berkeley.edu,767,9951ff599835f3b32d4ebc8c146b86c9caccfe429ff15dae4dcf372739008d1b
55,130.226.100.142,106.241.205.80,sina.com.cn,1314,c959f37c76ef78bae3e88b2d8fe5e8ceb0c4f4fe088d2b294d29211faa4742d6
63,74.191.167.73,90.134.158.138,de.vu,965,6e30ab1cbf0130e7afc4e32191f87326f4e50aaefb34548bf63ef05f779cea3d
35,101.35.178.21,162.54.38.139,cisco.com,805,a423f6c9d9c1fda61c68791d17fcce67fdf6b85d12b7973daa8567dd89eeb930
23,121.184.177.25,210.70.177.156,sakura.ne.jp,235,e3181ebc3846325be56eda38655631f3a146105f1eb4568b404f4601cec7286f
44,178.70.103.83,210.40.195.97,miitbeian.gov.cn,1279,3af6746a5729f7eeb05067f4fd0a5f3dc1bb8ed8ef54b7031df81c93f16d669c
3,53.33.38.194,127.82.145.145,privacy.gov.au,464,946645a58e195bcecd839398d837f47acda8117a1236aa762d56e71518db0435
36,124.245.174.104,94.21.150.179,google.it,133,ae332f0bd6fe1dffa2b5dc6a4452d6674054b44564125dbdee11c231cc90c435
22,34.124.24.127,77.187.19.24,admin.ch,969,a36788e2cfd24776bd9426ca061be522d209bbd39dee873ba40220ce335fcbfb
12,153.136.5.102,0.29.233.40,hexun.com,1469,8ebd76e5f22a7ab99debfdf645d1c1443648389b0e1885ba4e46581ee01f28f8
77,64.17.249.126,212.14.10.104,java.com,203,2ebde2f34a69a00b002f68c4f935a33ad93e9b066d7f49982f705800003ee1e5
54,119.199.85.194,191.184.135.71,123-reg.co.uk,462,a7b135569ceddfe5c154dd1d1532a54356ba81d22977a8ac4474aa07df5460ae
62,109.247.97.137,237.153.121.118,state.tx.us,801,10d77edb88cdffaab7a1031d5baed62937a88a6966a90ea2cff34a67b344efba
5,111.78.218.41,104.194.134.78,boston.com,1185,d2b5fefe3c9c28d82b7544b7c9ea742bede12e93357fe2c48fb88f7b997025b8
16,202.87.44.244,74.110.236.72,a8.net,86,0972addba7fda34c8298481a6db4805438b3deba102d92a5989b1cb2ae3a488c
33,181.117.182.120,219.153.114.210,desdev.cn,193,234d9716d765829bc5ff914ba5a80f1ac1f956e2dc7f6c9578f4fb486776987d
43,26.119.89.79,242.194.153.224,xrea.com,516,168e6c1f224bb0a24e220c0cd2ab4c9a538b65aee605cf644a9f2b3c51a35668
64,37.215.163.22,249.183.145.56,wikia.com,114,abea5e1477783d7f85fea89d9d26afab5a13c086dd0aba1edb0e5fb2826664b7
14,155.232.198.96,28.185.179.200,smh.com.au,45,4949dbf009f475b998110d673085df910b3c97be093fc128807dd88ea7abdeb1
82,84.188.71.123,168.47.234.211,networkadvertising.org,100,6344ccd9caef032670fafd7e2cf04d4e96be2eed8344f2587707cea735d86904
52,182.140.8.108,92.179.30.36,comcast.net,660,f3b80f252044edb2fa6eb268db74ebd9d72012fb36b5ac2da0aaf4725577be60
59,159.165.7.70,30.151.79.117,salon.com,545,61847b9ad3948a2d3bd6bc6a6450ebaf8f014f3ea0ab3c4c56ce45a63fe8bc31
72,175.236.44.219,40.205.63.73,dion.ne.jp,912,7bdae12c4c886c0720e60e02a79569cc80647cb59fb4841680807902ccdbb9b8
19,129.5.71.226,186.129.80.96,webs.com,239,be3f348df74c15fdae67e42795c2e9e02ffceed885a8ae47e9968a9b41eb374e
80,92.120.246.164,112.64.10.36,google.es,1340,bb0d081927855e606d46be9c2c0f374f031a48be4a5dbd55b68d902090006f95
90,138.153.98.182,113.236.141.99,howstuffworks.com,602,c92aa55a90e2b2cb127429b64d9812a926363681a3d920dc028fe4c1346caccb
82,4.69.106.249,132.108.42.182,fda.gov,1045,8b18a8168bf82442ca8e544587f74f9378cf275c3d81d7209125f0aebe45881b
42,49.76.127.99,174.230.7.208,networksolutions.com,1392,e9ca9bd9b325ad9994960005d223c884519720e303f9431259d08bb26cad83ab
64,80.154.67.121,134.241.20.245,youtube.com,644,398e9477e12dd9971e1fef5dcbb6e2c3a31cbcb09e03a5932d431816c34fc13c
10,49.13.29.136,23.84.29.98,tuttocitta.it,668,b87e94109b80667a7043df21244a826f8dfd5869e36c1a2833bfd34db993225a
17,37.212.134.114,84.10.131.158,thetimes.co.uk,274,998466a35c4c7ed65cf319216ca5d6f096f7760dc8ff95c71b0fb17e9bf3323c
66,54.28.25.157,85.166.101.144,diigo.com,853,1dae747207726f46c5a4dcb41d9a6f68f90a89a280b385826340c2db21547f38
17,15.195.86.61,222.64.53.231,usgs.gov,1392,9401ceecf0338479812ac173290220b040a5243f200de288a09c9cc0dd6df7d1
92,20.86.133.162,67.3.216.49,google.com.au,619,7d884dddb9c3128c24209c23aa950f30f4e6f161b6a23992b1c7b0c1563e3b13
91,151.32.73.45,229.105.235.62,cloudflare.com,617,d49b6585dc8b96f761bc399da2e2a38c9cf58bb2b8904dad2f39eccecaf1aed4
90,220.84.56.123,245.175.140.217,mtv.com,792,d963ca1ebfa101e7a73814e2e986e30ca3754c9d36a423ec05e847fc09566e85
30,6.30.228.99,161.149.248.143,princeton.edu,652,8e06bdf2f4e7fe3162ecf0caddec74cce176b8e82f36c675d6a4ba2118701390
58,133.35.137.208,39.117.54.137,shutterfly.com,1037,485de79acabc67e88bd844643a81a8629d6bb5c899a4388d5a1f3e98c39bef0c
3,177.243.253.194,180.133.191.187,ihg.com,1197,d67090e3e58157bc2da6fa4123493d535909e4f564d46d7e32dface73fb713bc
4,144.255.88.146,122.149.23.191,blogs.com,1215,7732a78be4e3287152053ef654d3ac7a39d4323ff51f6f6952f17acc135a2e66
72,240.170.255.0,213.227.61.89,elegantthemes.com,1439,1b3a638b9a4eb0858a7c064a72fb68a59e0c68805b1055866d65c9daebbb1634
91,47.38.32.98,108.252.6.36,google.de,1406,c6dd4742c83e0c896f0daa45ef48e2cea05e7794957acbd7e506bcc1818d616f
12,1.187.186.84,52.170.109.226,berkeley.edu,452,df31368b40a9f4868010efb481548b17db4e7ceabff9316ba68418ee9a122732
45,11.71.135.188,135.24.181.32,trellian.com,1413,d5ea33b11556e8659b7cafe3a93577e9ac6bacc2debf66862b12de15f913a064
90,222.38.98.218,76.50.92.173,list-manage.com,147,58b84251e88795fffd54b480353cef6f289dc8122f3e419e0f85e7767b8705e0
26,15.67.143.49,146.5.213.47,weebly.com,165,0bcf433d1e967aee16b7a972c57e9babba3cab921d4183cadaf357e3981dfdc3
76,228.200.91.99,220.151.74.82,un.org,63,e14144266c13feb74e512bc14b4d8e701ef8cce75ce2964c706759b53f51eb5f
25,62.1.203.91,87.43.82.131,slideshare.net,405,36e927817dc66a1ff2cfc51ff093560aa23afffa05b300cedbdc9e8be949eae9
56,147.206.171.129,5.214.58.149,sohu.com,460,3b5210d8fc5f26c9ce0392ad61002e93bd551461e3e8f23d60dfc1c199dca613
28,203.234.36.6,8.148.73.14,nps.gov,890,f5722b80d1c23e3a4c8dd12c35199db0f9497becaba8cf1eedbb6c90053b1ec6
81,96.218.127.114,23.143.61.10,google.nl,521,343cb8918e6cf4cad2dbc2b991113a7faa3e26041de31f05b3f65984418fff08
60,211.175.48.96,92.214.58.183,google.de,689,8a0c60f801397ca5c2c03deb8a420b28f2601abaf9db6ac0b9a98e36a6986e8f
3,150.68.66.44,163.17.215.205,vkontakte.ru,650,481fd7a2b0ef0e7996bbb72d15481a2502ad98dc9528324bab03f409a634d62d
77,46.39.147.204,88.126.241.61,51.la,134,9d3e1d4c7ef2be577b7561fd411d9f2d1d844067cb9007b37f9637b49203fadd
59,30.127.201.114,20.45.162.48,plala.or.jp,455,3038f2aa87d6a9baeb2d630221e64e66cc592ea06439778d150cdc2a178a775e
76,53.184.105.119,71.22.211.77,sina.com.cn,1075,cad5876f0c87a16defe1cad71be202c595bb4aef77f8bf821e848dfc1587b09f
16,120.11.226.47,213.57.192.219,statcounter.com,816,5ba900f28924ac9c4ea0dea1b0c9f19f1a1831cf42cb22bf1c23b6e8fee4919a
1,155.84.12.58,203.13.106.254,1und1.de,1016,b1d489edf00834eb9741e15c4d5d712f7df2ed4f46d5c7ba4b5a4eefa8df9271
33,50.192.222.14,44.14.5.140,de.vu,1165,1da7cf1aeec35a100ab608c7e45837235b218173678ba74c93f9cd727798d9e1
86,18.144.107.16,90.14.27.92,auda.org.au,1075,740f9a628e60a16e9c5c05797852d20d8b5e6ea9168ea3fa597fb777ebf7b012
86,196.200.26.14,137.56.52.118,independent.co.uk,417,d87ab0c6df557c6ea34d82aa319e46ba289fe6ba2986b5d0fa55094ecb37a2bb
93,150.207.75.130,247.122.172.138,blogspot.com,1405,e5c08bd500d3164586f1a8b54c31c70fcca4d7a538b2c66547a49ae87305f72b
86,1.197.52.173,233.1.86.127,cnn.com,825,ee69bb7e438e41d084aea4dccf668a2e3d01128e3eae4944e3d3572c3fe69126
3,17.165.190.90,12.52.168.57,jalbum.net,125,1e81ff8b22a48a4f879690105ef73f1993882149c57b212981b46240011ef62f
38,47.206.54.138,78.4.248.63,chronoengine.com,1068,f2aeae61011966e34e4d10d2225dc45924a5d25406c79f10563ea9a85daab1d6
67,196.106.224.42,254.105.171.238,istockphoto.com,533,388bd7d2639d7a9b42c7dfa6762ddf8d530df21859c594a378e266f6ed30497e
86,253.211.175.129,117.33.103.235,discovery.com,731,53f15b896de57b38c2f0b60cb73df27c408669ae3ea08582ab853f0bbc68b87f
71,199.98.177.176,233.104.49.124,qq.com,116,74c59b380838a65aac37c32cec0557c2871c4c91e673af295d30db6d23e35752
57,190.253.23.217,2.227.211.170,last.fm,359,db8308944a77b450364cd3cc7f45709fc0785693fcd4e02f7e2c6fc09cccc12c
57,231.131.73.250,86.178.226.220,phoca.cz,1016,e13cf24a84f4265142f7be9d6985a7af561da66d11977ede4792fdd516c34621
5,180.25.12.84,143.219.50.186,europa.eu,70,363f9da6081cd130ec306835994fd6ea9346669ddadde53f601e13a9da20a8f9
71,242.224.26.65,2.48.55.49,tmall.com,724,dc3d488f930ea3a30342a7d306819e1c96df76dd3368b6c3b113ebde145196ed
88,181.28.113.84,21.217.15.252,telegraph.co.uk,260,af9afa72bcca1be8391df1fa200592dcb021ef6b45f0fe69307c0efa8b950aec
99,79.159.143.12,188.83.206.204,hexun.com,1309,bc7ccf1288aec88efba826772649e5deb3010e650670e545d2b5e42e20cdd735
10,253.119.148.73,39.59.199.196,tinyurl.com,639,b7150f09bc2046d757cc5b76c720dc5ff88b88c0d62c1a222b5092910cf1afc4
85,201.235.66.84,90.99.202.242,photobucket.com,154,ed7ec27716377dd3e3222ff6fc1e4a1721f150d2609d0d335625fe93678aff12
12,228.81.148.38,96.33.170.250,ox.ac.uk,250,d49e62f2b8b50a359f1e07ced0724f88180bbf1e368fa0639a420c97bdd6b188
77,253.129.184.162,35.212.3.178,wufoo.com,522,32a1065c242612465fd9c0551f897526cecb215d66e4641a363fa6f60c134009
44,61.231.71.203,117.195.192.83,webs.com,704,3cc37c66287fa88410e7ccc9983b475417219d4baa2a312058a87b122529d5c7
63,145.28.179.76,156.81.182.218,cnet.com,1021,9e3c2bbbc5d44089a4a2b18a2d0b9555a4b00c2d11829850a7fcc8e90442b4ba
10,132.218.35.225,26.186.67.116,seattletimes.com,1451,feec0a9afdbed9d71431ba95b2c74ae798661c3fc0600535ce013f99adff8a25
52,93.118.86.226,130.111.157.77,washington.edu,432,b53f51ceda909ae9bdc982570c59d4ec3c653667df580ef8509c8b263ede8e0c
95,183.193.62.38,76.166.237.50,jimdo.com,575,816d10415de4814ac29af49209bd59e4a93fe75a32436a142422c913e26a144f
22,139.115.60.131,57.234.210.139,yelp.com,424,bd97e49d75f2e3736b519c60185830687879cb7390e7d4832107ce8ae4e9d544
19,238.229.9.45,96.97.105.120,51.la,530,09f4af4e810bf675258b0e2d21137beaae6985d7ea72031ebc9030403a867fa8
82,153.139.108.244,239.155.228.64,a8.net,1397,ebb791947e4eec8c26e49aa5d9339a6c99114a8162887a2606beac7f665c57b9
90,250.48.151.214,11.108.93.57,smh.com.au,1186,0224da1fd470747bf14b8d918626d8806ab890fdf622d3db0d4f07ee014ea988
74,169.126.234.218,6.188.89.183,barnesandnoble.com,917,b1795a3864bfb3cebe67424ab395ddaabceb3085fc2a88eeb54bf178237319bf
52,213.131.115.202,133.209.6.13,angelfire.com,556,18a5cfe5f0a9274cd9fb0229f70ee34fd929721f77c2b7dd3f97ab610985ee26
36,28.78.146.50,18.75.36.53,uiuc.edu,1235,4cc1aeee5ba4dd3401c8b62fe53ce146a0b22d99b3288a71d72bff8942ea8664
64,21.49.3.187,105.61.79.242,etsy.com,1504,3c81b233c323fa79af30ab68fc9e451e46d2f119e3d8d721bc5f81bad26c4b25
54,121.253.246.137,190.190.145.23,berkeley.edu,1395,1c9c2d8ee630bd2d0d39f194d5421d3ec1241eaa3ec73ecc3b16724bb1894224
90,190.196.205.170,117.208.241.145,npr.org,324,44ee9f2daeaf984eb26716c89c71fb61c894b51d0dbbad86c72a79d2a107d90e
43,227.45.233.88,132.96.143.64,upenn.edu,1321,f4d6063873cfe6f0a5447c6cf9e521d2af69ee0da54c5bbb67c17d776f9d61e2
51,171.34.203.32,72.18.72.198,dell.com,444,957b49968c04739aaf56c35ab4157bea31ed4c8df37294e25b4eea89910991bf
21,182.191.34.116,66.232.246.220,harvard.edu,1124,f4a3469e38f646b6e3dd8b039c2a430e6e966697482de28ff473dd2f083fb455
88,243.199.151.169,27.31.13.203,earthlink.net,772,354ec84ddc1b65be583e0a326e37e4e687cc807901920026103f1f64ace48b69
38,194.229.197.244,12.160.78.129,facebook.com,819,00493f5f72f76647ca259fb6ea4b1650b447f4d71174dafdde612f077ecfe345
9,108.104.30.119,203.47.118.163,themeforest.net,1240,5a58685aa761cef56cc1c478b23fbbec469f4baf1861f5e8f42f66dfa2a1d9bd
59,52.203.170.23,201.44.219.138,drupal.org,336,4da79daf75226b7e7a3fb15961f2b6116369759f8ea3e8b20e764529415fe2e1
83,29.238.136.245,11.62.232.12,newyorker.com,335,12026cbaaff79d4aeaead06272f5aecb8928b4baae81cc0f8e41996267981e8e
47,133.242.128.107,46.235.172.92,woothemes.com,89,cccf269f50a933baf4adb4ada8063722121ddfce06d6e67c833d7f550fd802bd
89,34.146.251.82,182.98.66.24,yelp.com,195,0bbf8999a6fc1384fb3a4475c97f98c1c137f69e189e75797bf1deead241f170
5,203.38.171.143,169.68.205.36,latimes.com,1349,a1ee292d35f936a44c4f47f78066ad899cda11db0df740626ceb6678066bc398
98,58.29.203.149,55.222.34.248,nsw.gov.au,265,5c455cf9e6b8cf52a4da140212c08edc65fffd2d1ec9f45da13a8827302d0a72
35,5.73.249.81,150.15.211.4,sbwire.com,1518,3db2618697cfefe7a51fb8cb58c9c9c3a8fcd9d91caf2a36e2b6e6864278b38d
16,3.203.222.174,82.13.89.205,sphinn.com,1455,5db1d5f4a437c8a8f760dabe56636f1372740c22b1aa1a0d016ff113660dc76b
64,194.101.127.178,54.160.246.16,spotify.com,1412,508a748e2689f56e9134a23c9a4886c5800face73a8452f2c49bc22dbb447911
78,135.16.139.85,43.214.175.179,icio.us,493,bfc9adb36aaec0b16475e435faf6ead929ab73898624da51ec568e615fb16f37
55,43.216.110.112,50.92.220.231,microsoft.com,528,8b9c8d0196b2eb453356d6eb9882a510297df61fe802a6f888db78ac104c0f4d
6,204.143.165.11,75.139.44.13,livejournal.com,864,d9a8fd70ca9c2f54c540b4db135d44aa42e9609c1342656fc5f0bf7eb8d847b4
46,58.96.136.140,161.219.146.42,topsy.com,914,793d88acef708500013275a3ca7db1c0d5a4c2fdc83191dcc3d2a53598f2942e
93,6.14.253.244,12.115.182.253,google.ru,1126,1273360e6c15370905c17754ec47c10999573a6db0317fb0ee08914d80082090
48,42.242.43.21,178.43.110.158,constantcontact.com,1420,1af9f815f7beedbf6a34020e4c1b39602a4c9cdb7a9ccffa4f801e5451603d01
66,220.157.75.32,137.46.231.0,pinterest.com,1193,9d41d30d65e69f5b63d2635eeb230514ca154a54276ddca00195636cc2325815
10,218.254.1.105,15.126.132.149,elegantthemes.com,904,8339c96ebc5faf2581303344fc5fff3756fe7062985d2524afd1525b11a2335d
99,171.134.243.60,128.205.142.191,mac.com,574,1ccea139afd0217ada6d5ef3d6a4557cb90d4dee51755905c293e5a7fc3f16f9
13,84.96.230.95,166.20.156.221,scribd.com,172,1ba92f67ab82678d85ee794755561413e2fdb6cfc44c6a81eb09b10e59bb3727
79,154.81.110.48,198.140.125.152,unesco.org,1113,e33f607027a1eed09f0f8a22e179925a4fa7fad5c4f29d44aa26310c1e6ee95c
89,213.40.240.169,143.201.166.4,goo.ne.jp,522,3a39016a0791b588aa73b2f0ce4923990deaa08c26d9fc940a60cbfb5efeedeb
30,137.130.98.251,139.232.109.204,hao123.com,1355,62125b7ab886461c0c10fba6ffd66c3c8621ea86eed5720d510ba6861ae7b783
7,58.234.176.133,86.45.28.138,hugedomains.com,966,f57f8c1c239f19a43d485ac8af99e4b6b8073a1565fc3b23cc62cf3fe1799ac3
47,21.166.86.201,239.130.210.105,techcrunch.com,829,145e84fc50aaf42a007fe82e7a7e2ea111be3ae66731874ce32d67a688605898
4,84.73.126.176,2.222.243.255,ustream.tv,607,f04d581ce3b6fde379db9e2b89c433173e4cc26075bcec33e43b8f2b6a523be0
33,28.142.154.228,28.176.64.72,foxnews.com,737,73dc5a0381aef2869b64293913b81c0574b92fd2ad80d227381da63de3f8adef
17,46.150.0.0,237.51.11.201,tripod.com,417,2a6fbbdbc62c653e26f4a2803b4f36d31ca47d36f7f2ca85b85c40013f689e4f
66,29.90.232.40,217.195.220.52,eepurl.com,285,50c9207473fc80e614d6e1f832d690dafda7a7f043899371e19adc186361c754
96,108.135.176.255,177.93.90.55,smh.com.au,1170,f26ad1d31438cb0035f8dee3e5c891c848fe6221e2caaf55c4ce9d557191d36f
4,114.7.52.238,235.187.9.252,cbslocal.com,258,d40736f17c7549d1865a81ab778ba3e5ec0b4810fd88eaf2123a6d09dcd467d3
32,203.102.227.147,130.65.38.110,canalblog.com,1422,6d26d017514b5ea5efe0b12d7c797c954b6803895c6dc8ac70a2f115a4865781
32,132.154.93.187,241.230.41.189,usa.gov,686,ee9afd85bc1288b6ef95061e0d96a62b037415862305b36ab7d15a9e82e74eef
99,19.151.243.145,1.195.214.182,shutterfly.com,1051,51ea587d5cce80bcb3172bc001d7b1bc31f0de5d8293933a592a62e54f670f67
95,136.148.228.63,191.30.123.80,alexa.com,166,8e461407c8a04450f3415b9d60061bf25c3ad97faf51027647e1101b504f4f24
52,3.246.250.64,251.182.194.194,statcounter.com,1070,306a8fe0229f45e75a62c1ec0ce0b58274f1a0c545708c2f1cb9b84dc1fd1bc2
23,253.252.2.60,243.30.61.173,hugedomains.com,865,5253934950dc1aab427d964903b92701a15eb403e98adb278f015592a5dd9e32
5,77.192.189.100,172.138.200.3,oracle.com,567,56dde9e93fe7fea194200fc01c6f86995ccf9390c77937e1c39555a3f413f279
11,70.164.198.172,231.168.222.75,fastcompany.com,218,3b24df3370f70164f5be0056b3270035fec2215874685ceb1bdd02a0096bd890
65,198.23.70.152,54.112.216.73,ovh.net,1261,07f13fdb3a7a1ba46b3ba197e51e36a4192e6cd141a498d87802aba5c8abcc16
83,204.180.177.6,166.47.130.65,nbcnews.com,1006,4d3a7ca7e39077a2076b5879932e94bb8999c575abf5ec681b62de2516be1586
65,28.9.126.77,28.150.55.158,dailymotion.com,1272,3b672a7af3bfebf49fd42b6af0b1ebd037bc8ef3b5613362dead04dd9f8d8ae1
29,169.126.233.254,135.79.59.76,weibo.com,1266,7ef31a33d92c1953411d0ff6e271f19012a3f7cd3a1c6981edff0644f0fce620
40,253.68.103.177,217.115.85.12,meetup.com,1010,692514a98f24775c7726c142478d1e6c1234683b82524053d3dc8d7a55437e99
1,96.7.17.120,190.192.9.178,fotki.com,606,efdf03bf3bc58cb85b38fa3055bebb7622a6fd5830e56dbfbe11d4db8cdbaac5
3,23.179.151.183,19.235.143.9,admin.ch,869,16fb78b96fdeab2f0d56cb2b1021a01a33e6be888e1abd09de91561159086a5c
30,81.18.245.28,159.174.107.205,friendfeed.com,291,fce7fe0750acf639018dd099c61754f058fb16f00fd5896aea319ab2c5faaf04
63,112.181.132.9,76.249.175.217,disqus.com,1266,5022fa81cb557ea619e0902f9401f3e0c2a3b5c5d671b66adb71fa63c47e1dd8
